date,Open,High,Low,Close,Volume,Ticker
2025-07-10,221.55,222.79,219.7,222.26,30370591.0,AMZN
2025-07-11,223.58,226.6799,222.37,225.02,50518307.0,AMZN
2025-07-14,225.07,226.66,224.24,225.69,35702597.0,AMZN
2025-07-15,226.2,227.27,225.455,226.35,34907294.0,AMZN
2025-07-16,225.875,226.1,222.18,223.19,39535926.0,AMZN
2025-07-17,223.32,224.5,222.51,223.88,31855831.0,AMZN
2025-07-18,225.14,226.4,222.98,226.13,37833807.0,AMZN
2025-07-21,225.835,229.69,225.65,229.3,40297556.0,AMZN
2025-07-22,229.68,230.0,226.35,227.47,37483702.0,AMZN
2025-07-23,228.47,228.79,227.09,228.29,28294852.0,AMZN
2025-07-24,229.17,236.0,228.64,232.23,42902266.0,AMZN
2025-07-25,232.22,232.48,231.18,231.44,28712095.0,AMZN
2025-07-28,233.35,234.29,232.25,232.79,26300138.0,AMZN
2025-07-29,234.15,234.72,230.31,231.01,33716220.0,AMZN
2025-07-30,231.64,231.8,229.29,230.19,32993273.0,AMZN
2025-07-31,235.77,236.53,231.4,234.11,104357263.0,AMZN
2025-08-01,217.21,220.4399,212.8,214.75,122258801.0,AMZN
2025-08-04,217.4,217.44,211.42,211.65,77890146.0,AMZN
2025-08-05,213.05,216.3,212.87,213.75,51505121.0,AMZN
2025-08-06,214.695,222.65,213.7409,222.31,54823045.0,AMZN
2025-08-07,221.0,226.22,220.82,223.13,40603513.0,AMZN
2025-08-08,223.14,223.8,221.8836,222.69,32970477.0,AMZN
2025-08-11,221.78,223.05,220.4,221.3,31646222.0,AMZN
2025-08-12,222.23,223.5,219.05,221.47,37254707.0,AMZN
2025-08-13,222.0,224.9185,222.0,224.56,36508335.0,AMZN
2025-08-14,227.4,233.11,227.02,230.98,61545824.0,AMZN
2025-08-15,232.58,234.08,229.807,231.03,39649244.0,AMZN
2025-08-18,230.225,231.91,228.33,231.49,25248890.0,AMZN
2025-08-19,230.09,230.5283,227.12,228.01,29891012.0,AMZN
2025-08-20,227.12,227.27,220.915,223.81,36604319.0,AMZN
2025-08-21,222.65,222.78,220.5,221.95,32140459.0,AMZN
2025-08-22,222.79,229.14,220.82,228.84,37315341.0,AMZN
2025-08-25,227.35,229.6,227.31,227.94,22633695.0,AMZN
2025-08-26,227.11,229.0,226.02,228.71,26105373.0,AMZN
2025-08-27,228.57,229.87,227.81,229.12,21254479.0,AMZN
2025-08-28,229.005,232.71,228.02,231.6,33679585.0,AMZN
2025-08-29,231.32,231.8125,228.16,229.0,26199170.0,AMZN
2025-09-02,223.52,226.17,221.83,225.34,38843883.0,AMZN
2025-09-03,225.21,227.1699,224.36,225.99,26355706.0,AMZN
2025-09-04,231.185,235.77,230.78,235.68,59391779.0,AMZN
2025-09-05,235.19,236.0,231.93,232.33,36721802.0,AMZN
2025-09-08,234.94,237.6,233.75,235.84,33947104.0,AMZN
2025-09-09,236.355,238.85,235.08,238.24,27033778.0,AMZN
2025-09-10,237.515,237.68,229.0962,230.33,60907714.0,AMZN
2025-09-11,231.49,231.53,229.3377,229.95,37485598.0,AMZN
2025-09-12,230.35,230.79,226.29,228.15,38496218.0,AMZN
2025-09-15,230.625,233.73,230.32,231.43,33243328.0,AMZN
2025-09-16,232.935,235.9,232.23,234.05,38203912.0,AMZN
2025-09-17,233.77,234.3,228.71,231.62,42815230.0,AMZN
2025-09-18,232.5,233.48,228.79,231.23,37931738.0,AMZN
2025-09-19,232.37,234.16,229.7,231.48,97943172.0,AMZN
2025-09-22,230.56,230.565,227.51,227.63,45914506.0,AMZN
2025-09-23,227.83,227.86,220.07,220.71,70956193.0,AMZN
2025-09-24,224.15,224.56,219.45,220.21,49509033.0,AMZN
2025-09-25,220.06,220.67,216.47,218.15,52226328.0,AMZN
2025-09-26,219.08,221.05,218.02,219.78,41650098.0,AMZN
2025-09-29,220.08,222.6,219.3,222.17,44259177.0,AMZN
2025-09-30,222.03,222.24,217.89,219.57,48396369.0,AMZN
2025-10-01,217.36,222.15,216.61,220.63,43933834.0,AMZN
2025-10-02,221.01,222.81,218.945,222.41,41258586.0,AMZN
2025-10-03,223.44,224.2,219.34,219.51,43639033.0,AMZN
2025-10-06,221.0,221.73,216.03,220.9,43690876.0,AMZN
2025-10-07,220.88,222.89,220.17,221.78,31194678.0,AMZN
2025-10-08,222.92,226.73,221.19,225.22,46685985.0,AMZN
2025-10-09,224.995,228.21,221.75,227.74,46412122.0,AMZN
2025-10-10,226.21,228.25,216.0,216.37,72367511.0,AMZN
