date,Open,High,Low,Close,Volume,Ticker
2025-07-10,150.3,153.16,149.79,151.53,867442.0,ALLE
2025-07-11,149.77,149.99,147.84,148.81,876106.0,ALLE
2025-07-14,148.32,149.34,147.44,148.31,725275.0,ALLE
2025-07-15,148.94,149.67,145.33,145.55,950551.0,ALLE
2025-07-16,145.46,146.16,143.605,146.07,1075694.0,ALLE
2025-07-17,148.05,153.77,147.9,153.53,1394808.0,ALLE
2025-07-18,154.16,154.39,152.265,152.82,934541.0,ALLE
2025-07-21,153.22,153.575,149.565,149.61,1106228.0,ALLE
2025-07-22,149.68,153.155,149.68,152.71,1114386.0,ALLE
2025-07-23,152.68,154.57,152.68,154.36,1665574.0,ALLE
2025-07-24,157.87,164.06,156.0,163.67,1895612.0,ALLE
2025-07-25,164.04,166.22,161.718,165.39,1446818.0,ALLE
2025-07-28,165.02,165.635,163.0,163.67,1066113.0,ALLE
2025-07-29,165.32,165.65,163.3,164.11,1109434.0,ALLE
2025-07-30,163.47,165.69,163.22,164.82,1191030.0,ALLE
2025-07-31,164.02,166.37,163.91,165.92,1322699.0,ALLE
2025-08-01,165.11,165.78,163.41,165.13,1366374.0,ALLE
2025-08-04,165.07,167.24,164.0,166.73,878347.0,ALLE
2025-08-05,166.96,167.21,164.4,165.4,1161988.0,ALLE
2025-08-06,165.91,165.91,163.72,164.49,863875.0,ALLE
2025-08-07,165.35,165.6,163.075,163.74,953900.0,ALLE
2025-08-08,164.32,164.94,163.37,163.72,576550.0,ALLE
2025-08-11,163.36,164.56,163.06,164.45,793519.0,ALLE
2025-08-12,164.86,166.74,163.46,166.43,749782.0,ALLE
2025-08-13,167.03,170.11,166.225,169.62,988418.0,ALLE
2025-08-14,168.58,169.43,167.3,168.55,959088.0,ALLE
2025-08-15,169.27,169.4818,166.915,167.17,549886.0,ALLE
2025-08-18,167.51,168.15,166.86,167.2,563324.0,ALLE
2025-08-19,167.32,170.285,167.32,169.86,844080.0,ALLE
2025-08-20,169.22,170.51,168.01,168.52,671307.0,ALLE
2025-08-21,167.62,168.07,166.7,167.21,483293.0,ALLE
2025-08-22,167.82,172.665,167.13,172.24,754458.0,ALLE
2025-08-25,171.67,171.905,169.8,169.82,626878.0,ALLE
2025-08-26,169.97,172.115,169.35,171.53,1278942.0,ALLE
2025-08-27,171.43,172.45,171.045,172.0,552886.0,ALLE
2025-08-28,172.47,172.95,170.56,170.97,848319.0,ALLE
2025-08-29,170.84,171.89,169.01,169.8,952263.0,ALLE
2025-09-02,167.25,168.465,166.91,167.99,810022.0,ALLE
2025-09-03,167.99,168.4698,166.84,167.69,635940.0,ALLE
2025-09-04,168.18,170.82,167.82,170.75,660436.0,ALLE
2025-09-05,171.36,173.245,170.82,171.86,596750.0,ALLE
2025-09-08,171.53,173.25,170.7,173.1,578158.0,ALLE
2025-09-09,172.15,173.09,168.51,169.97,556609.0,ALLE
