date,Open,High,Low,Close,Volume,Ticker
2025-07-10,156.11,159.47,155.96,157.32,4043673.0,MMM
2025-07-11,156.05,156.55,154.82,155.84,2401730.0,MMM
2025-07-14,155.59,158.11,154.92,157.91,2961358.0,MMM
2025-07-15,157.91,158.28,156.03,156.59,3059003.0,MMM
2025-07-16,157.62,157.68,154.85,157.56,3194822.0,MMM
2025-07-17,157.26,159.47,156.788,159.04,5024180.0,MMM
2025-07-18,162.54,164.15,150.25,153.23,11701861.0,MMM
2025-07-21,152.25,153.65,149.34,152.82,5194358.0,MMM
2025-07-22,152.98,154.0614,150.315,151.2,4927882.0,MMM
2025-07-23,151.92,152.65,149.8001,150.82,4976704.0,MMM
2025-07-24,150.0,151.295,147.81,149.3,4860918.0,MMM
2025-07-25,150.0,151.4,149.2,151.27,2818226.0,MMM
2025-07-28,150.605,153.88,150.1492,152.05,3970272.0,MMM
2025-07-29,152.4,153.1,151.1501,151.79,3918461.0,MMM
2025-07-30,152.48,152.5,146.5,146.62,3529547.0,MMM
2025-07-31,146.19,149.555,145.56,149.22,4390365.0,MMM
2025-08-01,146.5,146.715,144.25,144.41,4074812.0,MMM
2025-08-04,145.39,148.18,145.0,147.87,3641307.0,MMM
2025-08-05,148.46,151.22,148.0,150.09,3743918.0,MMM
2025-08-06,150.27,151.385,148.64,150.82,2636959.0,MMM
2025-08-07,151.98,152.48,149.975,151.74,2293938.0,MMM
2025-08-08,152.4,153.685,151.42,153.3,2376382.0,MMM
2025-08-11,153.75,155.61,153.1601,155.31,3354606.0,MMM
2025-08-12,155.79,158.46,155.61,157.85,2748432.0,MMM
2025-08-13,158.39,160.47,156.62,160.2,3132091.0,MMM
2025-08-14,159.6,160.07,156.63,156.65,6344865.0,MMM
2025-08-15,157.37,157.37,151.6101,152.39,3921288.0,MMM
2025-08-18,152.36,155.43,152.19,152.86,2585596.0,MMM
2025-08-19,152.84,155.72,152.05,154.34,2146354.0,MMM
2025-08-20,154.12,155.34,153.172,154.75,3258357.0,MMM
2025-08-21,154.37,155.21,153.15,154.38,2237024.0,MMM
2025-08-22,155.75,159.11,155.0,158.72,1958280.0,MMM
2025-08-25,157.59,157.92,155.8,155.85,1606448.0,MMM
2025-08-26,155.76,156.72,154.58,156.57,2960618.0,MMM
2025-08-27,156.04,157.22,155.75,156.53,2155078.0,MMM
2025-08-28,157.76,158.47,156.58,157.56,2982306.0,MMM
2025-08-29,157.6,158.24,155.315,155.53,3279345.0,MMM
2025-09-02,153.95,154.49,151.7,154.27,2745252.0,MMM
2025-09-03,153.5,154.085,150.43,152.0,3668705.0,MMM
